Identifier,Code,Name (Turkish),Name (English),Branch / Sector
TR-COA-44,44,"Atatürk Kültür, Dil ve Tarih Yüksek Kurumu","Atatürk Supreme Council for Culture, Language and History",Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-45,45,Atatürk Araştırma Merkezi,Atatürk Research Centre,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-46,46,Atatürk Kültür Merkezi,Atatürk Cultural Centre,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-47,47,Türk Dil Kurumu,Turkish Language Association,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-48,48,Türk Tarih Kurumu,Turkish Historical Society,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-49,49,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu,Scientific and Technological Research Council (TÜBİTAK),Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-50,50,Türkiye Bilimler Akademisi,Turkish Academy of Sciences,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-51,51,Karayolları Genel Müdürlüğü,General Directorate of Highways,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-52,52,Devlet Tiyatroları Genel Müdürlüğü,General Directorate of State Theatres,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-53,53,Devlet Opera ve Balesi Genel Müdürlüğü,General Directorate of State Opera and Ballet,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-54,54,Orman Genel Müdürlüğü,General Directorate of Forestry,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-55,55,Vakıflar Genel Müdürlüğü,General Directorate of Foundations,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-56,56,Türkiye Hudut ve Sahiller Sağlık Genel Müdürlüğü,Directorate General of Borders and Coasts Health,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-57,57,Maden Tetkik ve Arama Genel Müdürlüğü,General Directorate of Mineral Research and Exploration,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-58,58,Sivil Havacılık Genel Müdürlüğü,Directorate General of Civil Aviation,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-59,59,Türk Akreditasyon Kurumu,Turkish Accreditation Agency,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-60,60,Türk Standardları Enstitüsü,Turkish Standards Institute,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-61,61,Türk Patent ve Marka Kurumu,Turkish Patent and Trademark Office,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-64,64,Küçük ve Orta Ölçekli İşletmeleri Geliştirme ve Destekleme İdaresi Başkanlığı,Small and Medium Enterprises Development Organisation (KOSGEB),Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-65,65,Türk İşbirliği ve Koordinasyon Ajansı Başkanlığı,Turkish Cooperation and Coordination Agency (TİKA),Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-66,66,GAP Bölge Kalkınma İdaresi,Southeastern Anatolia Project Regional Development Administration,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-67,67,Özelleştirme İdaresi Başkanlığı,Privatisation Administration,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-68,68,Kamu Denetçiliği Kurumu,Ombudsman Institution,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-69,69,Ceza İnfaz Kurumları ile Tutukevleri İş Yurtları Kurumu,Work-Houses Institution for Penal Execution and Detention Centres,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-70,70,Mesleki Yeterlilik Kurumu Başkanlığı,Vocational Qualifications Authority,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-71,71,Yurtdışı Türkler ve Akraba Topluluklar Başkanlığı,Presidency for Turks Abroad and Related Communities,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-72,72,Türkiye Yazma Eserler Kurumu Başkanlığı,Türkiye Manuscripts Institution,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-73,73,Doğu Anadolu Projesi Bölge Kalkınma İdaresi Başkanlığı,Eastern Anatolia Project Regional Development Administration,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-74,74,Konya Ovası Projesi Bölge Kalkınma İdaresi Başkanlığı,Konya Plain Project Regional Development Administration,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-75,75,Doğu Karadeniz Projesi Bölge Kalkınma İdaresi Başkanlığı,Eastern Black Sea Project Regional Development Administration,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-76,76,Devlet Su İşleri Genel Müdürlüğü,General Directorate of State Hydraulic Works,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-77,77,Türkiye Su Enstitüsü,Türkiye Water Institute,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-78,78,Türkiye İlaç ve Tıbbi Cihaz Kurumu,Turkish Medicines and Medical Devices Agency,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-79,79,Türkiye İnsan Hakları ve Eşitlik Kurumu,Human Rights and Equality Institution of Türkiye,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-80,80,Türkiye Sağlık Enstitüleri Başkanlığı,Health Institutes of Türkiye,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-81,81,Helal Akreditasyon Kurumu,Halal Accreditation Agency,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-83,83,Maden ve Petrol İşleri Genel Müdürlüğü,General Directorate of Mining and Petroleum Affairs,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-84,84,Türkiye Uzay Ajansı,Turkish Space Agency,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-85,85,Kapadokya Alan Başkanlığı,Cappadocia Area Directorate,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-87,87,Radyo ve Televizyon Üst Kurulu,Radio and Television Supreme Council (RTÜK),Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-88,88,Bilgi Teknolojileri ve İletişim Kurumu,Information and Communication Technologies Authority (BTK),Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-89,89,Sermaye Piyasası Kurulu,Capital Markets Board (SPK),Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-90,90,Bankacılık Düzenleme ve Denetleme Kurumu,Banking Regulation and Supervision Agency (BDDK),Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-91,91,Enerji Piyasası Düzenleme Kurumu,Energy Market Regulatory Authority (EPDK),Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-92,92,Kamu İhale Kurumu,Public Procurement Authority,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-93,93,Rekabet Kurumu,Competition Authority,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-94,94,"Kamu Gözetimi, Muhasebe ve Denetim Standartları Kurumu","Public Oversight, Accounting and Auditing Standards Authority",Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-95,95,Kişisel Verileri Koruma Kurumu,Personal Data Protection Authority (KVKK),Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-96,96,Nükleer Düzenleme Kurumu,Nuclear Regulatory Authority,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-102,102,Türkiye Adalet Akademisi,Justice Academy of Türkiye,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-103,103,Sigortacılık ve Özel Emeklilik Düzenleme ve Denetleme Kurumu,Insurance and Private Pension Regulation and Supervision Agency,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies)
TR-COA-104,104,"Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu","Türkiye Energy, Nuclear and Mineral Research Agency",Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-105,105,Çalışma ve Sosyal Güvenlik Bakanlığı,Ministry of Labour and Social Security,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-106,106,İklim Değişikliği Başkanlığı,Presidency of Climate Change,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-107,107,Uludağ Alan Başkanlığı,Uludağ Area Directorate,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-108,108,Kentsel Dönüşüm Başkanlığı,Presidency of Urban Transformation,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-109,109,Siber Güvenlik Başkanlığı,Presidency of Cybersecurity,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-110,110,Doğa Koruma ve Millî Parklar Genel Müdürlüğü,General Directorate of Nature Conservation and National Parks,Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-401,401,Yükseköğretim Kurulu,Council of Higher Education (YÖK),Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-402,402,Ankara Üniversitesi,Ankara University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-403,403,Orta Doğu Teknik Üniversitesi,Middle East Technical University (METU),Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-404,404,Hacettepe Üniversitesi,Hacettepe University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-405,405,Gazi Üniversitesi,Gazi University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-406,406,İstanbul Üniversitesi,Istanbul University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-407,407,İstanbul Teknik Üniversitesi,Istanbul Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-408,408,Boğaziçi Üniversitesi,Boğaziçi University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-409,409,Marmara Üniversitesi,Marmara University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-410,410,Yıldız Teknik Üniversitesi,Yıldız Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-411,411,Mimar Sinan Güzel Sanatlar Üniversitesi,Mimar Sinan Fine Arts University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-412,412,Ege Üniversitesi,Ege University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-413,413,Dokuz Eylül Üniversitesi,Dokuz Eylül University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-414,414,Trakya Üniversitesi,Trakya University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-415,415,Bursa Uludağ Üniversitesi,Bursa Uludağ University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-416,416,Anadolu Üniversitesi,Anadolu University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-417,417,Selçuk Üniversitesi,Selçuk University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-418,418,Akdeniz Üniversitesi,Akdeniz University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-419,419,Erciyes Üniversitesi,Erciyes University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-420,420,Sivas Cumhuriyet Üniversitesi,Sivas Cumhuriyet University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-421,421,Çukurova Üniversitesi,Çukurova University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-422,422,Ondokuz Mayıs Üniversitesi,Ondokuz Mayıs University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-423,423,Karadeniz Teknik Üniversitesi,Karadeniz Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-424,424,Atatürk Üniversitesi,Atatürk University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-425,425,İnönü Üniversitesi,İnönü University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-426,426,Fırat Üniversitesi,Fırat University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-427,427,Dicle Üniversitesi,Dicle University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-428,428,Van Yüzüncü Yıl Üniversitesi,Van Yüzüncü Yıl University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-429,429,Gaziantep Üniversitesi,Gaziantep University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-430,430,İzmir Yüksek Teknoloji Enstitüsü,İzmir Institute of Technology,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-431,431,Gebze Teknik Üniversitesi,Gebze Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-432,432,Harran Üniversitesi,Harran University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-433,433,Süleyman Demirel Üniversitesi,Süleyman Demirel University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-434,434,Aydın Adnan Menderes Üniversitesi,Aydın Adnan Menderes University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-435,435,Zonguldak Bülent Ecevit Üniversitesi,Zonguldak Bülent Ecevit University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-436,436,Mersin Üniversitesi,Mersin University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-437,437,Pamukkale Üniversitesi,Pamukkale University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-438,438,Balıkesir Üniversitesi,Balıkesir University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-439,439,Kocaeli Üniversitesi,Kocaeli University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-440,440,Sakarya Üniversitesi,Sakarya University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-441,441,Manisa Celal Bayar Üniversitesi,Manisa Celal Bayar University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-442,442,Bolu Abant İzzet Baysal Üniversitesi,Bolu Abant İzzet Baysal University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-443,443,Hatay Mustafa Kemal Üniversitesi,Hatay Mustafa Kemal University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-444,444,Afyon Kocatepe Üniversitesi,Afyon Kocatepe University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-445,445,Kafkas Üniversitesi,Kafkas University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-446,446,Çanakkale Onsekiz Mart Üniversitesi,Çanakkale Onsekiz Mart University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-447,447,Niğde Ömer Halisdemir Üniversitesi,Niğde Ömer Halisdemir University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-448,448,Kütahya Dumlupınar Üniversitesi,Kütahya Dumlupınar University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-449,449,Tokat Gaziosmanpaşa Üniversitesi,Tokat Gaziosmanpaşa University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-450,450,Muğla Sıtkı Koçman Üniversitesi,Muğla Sıtkı Koçman University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-451,451,Kahramanmaraş Sütçü İmam Üniversitesi,Kahramanmaraş Sütçü İmam University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-452,452,Kırıkkale Üniversitesi,Kırıkkale University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-453,453,Eskişehir Osmangazi Üniversitesi,Eskişehir Osmangazi University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-454,454,Galatasaray Üniversitesi,Galatasaray University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-455,455,Kırşehir Ahi Evran Üniversitesi,Kırşehir Ahi Evran University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-456,456,Kastamonu Üniversitesi,Kastamonu University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-457,457,Düzce Üniversitesi,Düzce University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-458,458,Burdur Mehmet Akif Ersoy Üniversitesi,Burdur Mehmet Akif Ersoy University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-459,459,Uşak Üniversitesi,Uşak University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-460,460,Recep Tayyip Erdoğan Üniversitesi,Recep Tayyip Erdoğan University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-461,461,Tekirdağ Namık Kemal Üniversitesi,Tekirdağ Namık Kemal University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-462,462,Erzincan Binali Yıldırım Üniversitesi,Erzincan Binali Yıldırım University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-463,463,Aksaray Üniversitesi,Aksaray University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-464,464,Giresun Üniversitesi,Giresun University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-465,465,Hitit Üniversitesi,Hitit University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-466,466,Yozgat Bozok Üniversitesi,Yozgat Bozok University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-467,467,Adıyaman Üniversitesi,Adıyaman University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-468,468,Ordu Üniversitesi,Ordu University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-469,469,Amasya Üniversitesi,Amasya University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-470,470,Karamanoğlu Mehmetbey Üniversitesi,Karamanoğlu Mehmetbey University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-471,471,Ağrı İbrahim Çeçen Üniversitesi,Ağrı İbrahim Çeçen University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-472,472,Sinop Üniversitesi,Sinop University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-473,473,Siirt Üniversitesi,Siirt University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-474,474,Nevşehir Hacı Bektaş Veli Üniversitesi,Nevşehir Hacı Bektaş Veli University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-475,475,Karabük Üniversitesi,Karabük University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-476,476,Kilis 7 Aralık Üniversitesi,Kilis 7 Aralık University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-477,477,Çankırı Karatekin Üniversitesi,Çankırı Karatekin University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-478,478,Artvin Çoruh Üniversitesi,Artvin Çoruh University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-479,479,Bilecik Şeyh Edebali Üniversitesi,Bilecik Şeyh Edebali University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-480,480,Bitlis Eren Üniversitesi,Bitlis Eren University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-481,481,Kırklareli Üniversitesi,Kırklareli University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-482,482,Osmaniye Korkut Ata Üniversitesi,Osmaniye Korkut Ata University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-483,483,Bingöl Üniversitesi,Bingöl University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-484,484,Muş Alparslan Üniversitesi,Muş Alparslan University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-485,485,Mardin Artuklu Üniversitesi,Mardin Artuklu University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-486,486,Batman Üniversitesi,Batman University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-487,487,Ardahan Üniversitesi,Ardahan University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-488,488,Bartın Üniversitesi,Bartın University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-489,489,Bayburt Üniversitesi,Bayburt University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-490,490,Gümüşhane Üniversitesi,Gümüşhane University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-491,491,Hakkari Üniversitesi,Hakkari University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-492,492,Iğdır Üniversitesi,Iğdır University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-493,493,Şırnak Üniversitesi,Şırnak University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-494,494,Munzur Üniversitesi,Munzur University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-495,495,Yalova Üniversitesi,Yalova University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-496,496,Türk Alman Üniversitesi,Turkish-German University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-497,497,Ankara Yıldırım Beyazıt Üniversitesi,Ankara Yıldırım Beyazıt University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-498,498,Bursa Teknik Üniversitesi,Bursa Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-499,499,İstanbul Medeniyet Üniversitesi,Istanbul Medeniyet University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-500,500,İzmir Kâtip Çelebi Üniversitesi,İzmir Kâtip Çelebi University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-501,501,Necmettin Erbakan Üniversitesi,Necmettin Erbakan University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-502,502,Abdullah Gül Üniversitesi,Abdullah Gül University,Yükseköğretim Kurumları (Higher Education Institutions)
TR-COA-503,503,Erzurum Teknik Üniversitesi,Erzurum Technical University,Yükseköğretim Kurumları (Higher Education Institutions)
