code,name_en,name_pt,Branch / Sector,Identifier
54000,Ministry of Tourism,Ministério do Turismo,Poder Executivo — Ministérios,BR-COA-54000
55000,"Ministry of Development and Social Assistance, Family and Fight Against Hunger","Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",Poder Executivo — Ministérios,BR-COA-55000
56000,Ministry of Cities,Ministério das Cidades,Poder Executivo — Ministérios,BR-COA-56000
58000,Ministry of Fisheries and Aquaculture,Ministério da Pesca e Aquicultura,Poder Executivo — Ministérios,BR-COA-58000
65000,Ministry of Women,Ministério das Mulheres,Poder Executivo — Ministérios,BR-COA-65000
67000,Ministry of Racial Equality,Ministério da Igualdade Racial,Poder Executivo — Ministérios,BR-COA-67000
68000,Ministry of Ports and Airports,Ministério de Portos e Aeroportos,Poder Executivo — Ministérios,BR-COA-68000
69000,"Ministry of Entrepreneurship, Microenterprise and Small Business","Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",Poder Executivo — Ministérios,BR-COA-69000
81000,Ministry of Human Rights and Citizenship,Ministério dos Direitos Humanos e da Cidadania,Poder Executivo — Ministérios,BR-COA-81000
82000,Ministry of Public Security,Ministério da Segurança Pública,Poder Executivo — Ministérios,BR-COA-82000
84000,Ministry of Indigenous Peoples,Ministério dos Povos Indígenas,Poder Executivo — Ministérios,BR-COA-84000
25201,Central Bank of Brazil,Banco Central do Brasil,Autarquia Especial,BR-COA-25201
71000,Financial Charges of the Union,Encargos Financeiros da União,Encargos e Reservas,BR-COA-71000
73000,Social Security Charges of the Union,Encargos Previdenciários da União,Encargos e Reservas,BR-COA-73000
74000,Official Credit Operations,Operações Oficiais de Crédito,Encargos e Reservas,BR-COA-74000
75000,Federal Public Debt,Dívida Pública Federal,Encargos e Reservas,BR-COA-75000
90000,Contingency Reserve,Reserva de Contingência,Encargos e Reservas,BR-COA-90000
