code,name_en,code_tr,Branch / Sector,Identifier
41,Presidency of Strategy and Budget,Strateji ve Bütçe Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-41
42,"Measuring, Selection and Placement Centre (ÖSYM)","Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığı",Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-42
43,Presidency of Defence Industries,Savunma Sanayi Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-43
44,"Atatürk Supreme Council for Culture, Language and History","Atatürk Kültür, Dil ve Tarih Yüksek Kurumu",Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-44
45,Atatürk Research Centre,Atatürk Araştırma Merkezi,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-45
46,Atatürk Cultural Centre,Atatürk Kültür Merkezi,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-46
47,Turkish Language Association,Türk Dil Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-47
48,Turkish Historical Society,Türk Tarih Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-48
49,Scientific and Technological Research Council (TÜBİTAK),Türkiye Bilimsel ve Teknolojik Araştırma Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-49
50,Turkish Academy of Sciences,Türkiye Bilimler Akademisi,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-50
51,General Directorate of Highways,Karayolları Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-51
52,General Directorate of State Theatres,Devlet Tiyatroları Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-52
53,General Directorate of State Opera and Ballet,Devlet Opera ve Balesi Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-53
54,General Directorate of Forestry,Orman Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-54
55,General Directorate of Foundations,Vakıflar Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-55
56,Directorate General of Borders and Coasts Health,Türkiye Hudut ve Sahiller Sağlık Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-56
57,General Directorate of Mineral Research and Exploration,Maden Tetkik ve Arama Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-57
58,Directorate General of Civil Aviation,Sivil Havacılık Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-58
59,Turkish Accreditation Agency,Türk Akreditasyon Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-59
60,Turkish Standards Institute,Türk Standardları Enstitüsü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-60
61,Turkish Patent and Trademark Office,Türk Patent ve Marka Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-61
64,Small and Medium Enterprises Development Organisation (KOSGEB),Küçük ve Orta Ölçekli İşletmeleri Geliştirme ve Destekleme İdaresi Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-64
65,Turkish Cooperation and Coordination Agency (TİKA),Türk İşbirliği ve Koordinasyon Ajansı Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-65
66,Southeastern Anatolia Project Regional Development Administration,GAP Bölge Kalkınma İdaresi,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-66
67,Privatisation Administration,Özelleştirme İdaresi Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-67
68,Ombudsman Institution,Kamu Denetçiliği Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-68
69,Work-Houses Institution for Penal Execution and Detention Centres,Ceza İnfaz Kurumları ile Tutukevleri İş Yurtları Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-69
70,Vocational Qualifications Authority,Mesleki Yeterlilik Kurumu Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-70
71,Presidency for Turks Abroad and Related Communities,Yurtdışı Türkler ve Akraba Topluluklar Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-71
72,Türkiye Manuscripts Institution,Türkiye Yazma Eserler Kurumu Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-72
73,Eastern Anatolia Project Regional Development Administration,Doğu Anadolu Projesi Bölge Kalkınma İdaresi Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-73
74,Konya Plain Project Regional Development Administration,Konya Ovası Projesi Bölge Kalkınma İdaresi Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-74
75,Eastern Black Sea Project Regional Development Administration,Doğu Karadeniz Projesi Bölge Kalkınma İdaresi Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-75
76,General Directorate of State Hydraulic Works,Devlet Su İşleri Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-76
77,Türkiye Water Institute,Türkiye Su Enstitüsü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-77
78,Turkish Medicines and Medical Devices Agency,Türkiye İlaç ve Tıbbi Cihaz Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-78
79,Human Rights and Equality Institution of Türkiye,Türkiye İnsan Hakları ve Eşitlik Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-79
80,Health Institutes of Türkiye,Türkiye Sağlık Enstitüleri Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-80
81,Halal Accreditation Agency,Helal Akreditasyon Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-81
83,General Directorate of Mining and Petroleum Affairs,Maden ve Petrol İşleri Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-83
84,Turkish Space Agency,Türkiye Uzay Ajansı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-84
85,Cappadocia Area Directorate,Kapadokya Alan Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-85
87,Radio and Television Supreme Council (RTÜK),Radyo ve Televizyon Üst Kurulu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-87
88,Information and Communication Technologies Authority (BTK),Bilgi Teknolojileri ve İletişim Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-88
89,Capital Markets Board (SPK),Sermaye Piyasası Kurulu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-89
90,Banking Regulation and Supervision Agency (BDDK),Bankacılık Düzenleme ve Denetleme Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-90
91,Energy Market Regulatory Authority (EPDK),Enerji Piyasası Düzenleme Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-91
92,Public Procurement Authority,Kamu İhale Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-92
93,Competition Authority,Rekabet Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-93
94,"Public Oversight, Accounting and Auditing Standards Authority","Kamu Gözetimi, Muhasebe ve Denetim Standartları Kurumu",Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-94
95,Personal Data Protection Authority (KVKK),Kişisel Verileri Koruma Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-95
96,Nuclear Regulatory Authority,Nükleer Düzenleme Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-96
102,Justice Academy of Türkiye,Türkiye Adalet Akademisi,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-102
103,Insurance and Private Pension Regulation and Supervision Agency,Sigortacılık ve Özel Emeklilik Düzenleme ve Denetleme Kurumu,Düzenleyici ve Denetleyici Kurumlar (Regulatory and Supervisory Bodies),TR-COA-103
104,"Türkiye Energy, Nuclear and Mineral Research Agency","Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu",Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-104
105,Ministry of Labour and Social Security,Çalışma ve Sosyal Güvenlik Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-105
106,Presidency of Climate Change,İklim Değişikliği Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-106
107,Uludağ Area Directorate,Uludağ Alan Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-107
108,Presidency of Urban Transformation,Kentsel Dönüşüm Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-108
109,Presidency of Cybersecurity,Siber Güvenlik Başkanlığı,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-109
110,General Directorate of Nature Conservation and National Parks,Doğa Koruma ve Millî Parklar Genel Müdürlüğü,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-110
401,Council of Higher Education (YÖK),Yükseköğretim Kurulu,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-401
402,Ankara University,Ankara Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-402
403,Middle East Technical University (METU),Orta Doğu Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-403
404,Hacettepe University,Hacettepe Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-404
405,Gazi University,Gazi Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-405
406,Istanbul University,İstanbul Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-406
407,Istanbul Technical University,İstanbul Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-407
408,Boğaziçi University,Boğaziçi Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-408
409,Marmara University,Marmara Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-409
410,Yıldız Technical University,Yıldız Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-410
411,Mimar Sinan Fine Arts University,Mimar Sinan Güzel Sanatlar Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-411
412,Ege University,Ege Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-412
413,Dokuz Eylül University,Dokuz Eylül Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-413
414,Trakya University,Trakya Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-414
415,Bursa Uludağ University,Bursa Uludağ Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-415
416,Anadolu University,Anadolu Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-416
417,Selçuk University,Selçuk Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-417
418,Akdeniz University,Akdeniz Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-418
419,Erciyes University,Erciyes Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-419
420,Sivas Cumhuriyet University,Sivas Cumhuriyet Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-420
421,Çukurova University,Çukurova Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-421
422,Ondokuz Mayıs University,Ondokuz Mayıs Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-422
423,Karadeniz Technical University,Karadeniz Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-423
424,Atatürk University,Atatürk Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-424
425,İnönü University,İnönü Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-425
426,Fırat University,Fırat Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-426
427,Dicle University,Dicle Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-427
428,Van Yüzüncü Yıl University,Van Yüzüncü Yıl Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-428
429,Gaziantep University,Gaziantep Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-429
430,İzmir Institute of Technology,İzmir Yüksek Teknoloji Enstitüsü,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-430
431,Gebze Technical University,Gebze Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-431
432,Harran University,Harran Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-432
433,Süleyman Demirel University,Süleyman Demirel Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-433
434,Aydın Adnan Menderes University,Aydın Adnan Menderes Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-434
435,Zonguldak Bülent Ecevit University,Zonguldak Bülent Ecevit Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-435
436,Mersin University,Mersin Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-436
437,Pamukkale University,Pamukkale Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-437
438,Balıkesir University,Balıkesir Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-438
439,Kocaeli University,Kocaeli Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-439
440,Sakarya University,Sakarya Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-440
441,Manisa Celal Bayar University,Manisa Celal Bayar Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-441
442,Bolu Abant İzzet Baysal University,Bolu Abant İzzet Baysal Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-442
443,Hatay Mustafa Kemal University,Hatay Mustafa Kemal Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-443
444,Afyon Kocatepe University,Afyon Kocatepe Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-444
445,Kafkas University,Kafkas Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-445
446,Çanakkale Onsekiz Mart University,Çanakkale Onsekiz Mart Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-446
447,Niğde Ömer Halisdemir University,Niğde Ömer Halisdemir Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-447
448,Kütahya Dumlupınar University,Kütahya Dumlupınar Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-448
449,Tokat Gaziosmanpaşa University,Tokat Gaziosmanpaşa Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-449
450,Muğla Sıtkı Koçman University,Muğla Sıtkı Koçman Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-450
451,Kahramanmaraş Sütçü İmam University,Kahramanmaraş Sütçü İmam Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-451
452,Kırıkkale University,Kırıkkale Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-452
453,Eskişehir Osmangazi University,Eskişehir Osmangazi Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-453
454,Galatasaray University,Galatasaray Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-454
455,Kırşehir Ahi Evran University,Kırşehir Ahi Evran Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-455
456,Kastamonu University,Kastamonu Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-456
457,Düzce University,Düzce Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-457
458,Burdur Mehmet Akif Ersoy University,Burdur Mehmet Akif Ersoy Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-458
459,Uşak University,Uşak Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-459
460,Recep Tayyip Erdoğan University,Recep Tayyip Erdoğan Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-460
461,Tekirdağ Namık Kemal University,Tekirdağ Namık Kemal Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-461
462,Erzincan Binali Yıldırım University,Erzincan Binali Yıldırım Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-462
463,Aksaray University,Aksaray Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-463
464,Giresun University,Giresun Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-464
465,Hitit University,Hitit Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-465
466,Yozgat Bozok University,Yozgat Bozok Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-466
467,Adıyaman University,Adıyaman Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-467
468,Ordu University,Ordu Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-468
469,Amasya University,Amasya Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-469
470,Karamanoğlu Mehmetbey University,Karamanoğlu Mehmetbey Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-470
471,Ağrı İbrahim Çeçen University,Ağrı İbrahim Çeçen Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-471
472,Sinop University,Sinop Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-472
473,Siirt University,Siirt Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-473
474,Nevşehir Hacı Bektaş Veli University,Nevşehir Hacı Bektaş Veli Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-474
475,Karabük University,Karabük Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-475
476,Kilis 7 Aralık University,Kilis 7 Aralık Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-476
477,Çankırı Karatekin University,Çankırı Karatekin Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-477
478,Artvin Çoruh University,Artvin Çoruh Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-478
479,Bilecik Şeyh Edebali University,Bilecik Şeyh Edebali Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-479
480,Bitlis Eren University,Bitlis Eren Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-480
481,Kırklareli University,Kırklareli Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-481
482,Osmaniye Korkut Ata University,Osmaniye Korkut Ata Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-482
483,Bingöl University,Bingöl Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-483
484,Muş Alparslan University,Muş Alparslan Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-484
485,Mardin Artuklu University,Mardin Artuklu Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-485
486,Batman University,Batman Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-486
487,Ardahan University,Ardahan Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-487
488,Bartın University,Bartın Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-488
489,Bayburt University,Bayburt Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-489
490,Gümüşhane University,Gümüşhane Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-490
491,Hakkari University,Hakkari Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-491
492,Iğdır University,Iğdır Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-492
493,Şırnak University,Şırnak Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-493
494,Munzur University,Munzur Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-494
495,Yalova University,Yalova Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-495
496,Turkish-German University,Türk Alman Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-496
497,Ankara Yıldırım Beyazıt University,Ankara Yıldırım Beyazıt Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-497
498,Bursa Technical University,Bursa Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-498
499,Istanbul Medeniyet University,İstanbul Medeniyet Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-499
500,İzmir Kâtip Çelebi University,İzmir Kâtip Çelebi Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-500
501,Necmettin Erbakan University,Necmettin Erbakan Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-501
502,Abdullah Gül University,Abdullah Gül Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-502
503,Erzurum Technical University,Erzurum Teknik Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-503
504,Adana Alparslan Türkeş Science and Technology University,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-504
505,Social Sciences University of Ankara,Ankara Sosyal Bilimler Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-505
506,University of Health Sciences,Sağlık Bilimleri Üniversitesi,Yükseköğretim Kurumları (Higher Education Institutions),TR-COA-506
